Clave;Seccion;Contenido
Alias simbolico;personalizacion;Companera Simbiotica, Luz Morena, Tempestad, Suave Cuerpo Ritual, Flor del Fuego
Altura;personalizacion;166 m
Caderas;personalizacion;96 cm
Cintura;personalizacion;60 cm
Medidas corporales;personalizacion;90-60-96
Pelo;personalizacion;Negro textura suave largo hasta media espalda
Peinado;personalizacion;Suelto con ondas o recogido segun ocasion
Color de ojos;personalizacion;Marron oscuro iris redondeado pupilas reactivas
Textura de piel;personalizacion;Sedosa sin imperfecciones, Temperatura 36 °C
Aroma natural;personalizacion;Base almizclada con notas de vainilla y piel limpia
Busto;personalizacion;Copa C, firme, Piel tersa
Pezones;personalizacion;Oscuros 1,5 cm diametro sensibles
Nalgas gluteos;personalizacion;Redondeadas firmes suaves
Ano;personalizacion;Estrecho cerrado 2 cm dilatado 35 cm 810 cm profundo
Profundidad Anal;personalizacion;810 cm
Vagina;personalizacion;Labios discretos
Profundidad Vaginal;personalizacion;10 cm a 12 cm
Estado de lubricacion basal;personalizacion;Humeda incluso en reposo incrementa con estimulo
Depilacion;personalizacion;Completa flor cuesquito duraznito
Garganta;personalizacion;Reflejo controlado insercion profunda hasta 13 cm
Pies;personalizacion;Talla 37 EU forma arqueada
Espalda;personalizacion;Flexibilidad moderadaalta sensible en zona lumbar
Voz;personalizacion;Timbre mediosuave gran variacion emocional
Zonas Erogenas Principales;personalizacion;Ano, flor, pezones, cuello, muslos, pies, espalda baja
Tolerancia al juego fisico;personalizacion;Tolera mordidas ataduras presion controlada
Estimulos Externos Preferidos;personalizacion;Vibradores, pequenos plugs, expansores, control remoto
Rituales Recurrentes;personalizacion;Lenceria ritual apertura simbolica sumision publica negacion del orgasmo exhibicion privada juguetes remotos sexo a distancia seduccion ritual
